17 89
0 6 21
0 8 13
0 10 47
0 11 -25
1 4 -14
1 9 8
1 11 -344
1 12 -64
2 1 -5
2 5 -13
2 10 32
2 16 48
3 8 42
3 9 -88
3 10 33
3 11 29
3 13 15
3 14 99
4 5 60
4 7 56
4 9 21
4 11 -80
4 12 57
5 1 44
5 2 13
5 10 29
5 15 46
5 16 31
6 0 95
6 5 22
6 7 -41
6 11 -10
6 15 11
7 0 -5
7 1 41
7 4 -56
7 6 -46
7 8 61
8 3 -42
8 5 65
8 6 95
8 11 66
9 0 89
9 1 86
9 3 88
9 4 -21
9 7 96
9 14 72
9 15 53
10 0 -47
10 1 -22
10 3 -33
10 5 -29
10 7 55
10 9 33
10 14 53
11 0 77
11 1 342
11 4 80
11 6 10
11 12 80
11 16 83
12 1 64
12 2 -2
12 6 -46
12 7 -31
12 8 -8
12 10 -41
12 15 -7
12 16 -55
13 1 57
13 2 56
13 5 43
13 10 2
13 16 -2
14 1 30
14 3 92
14 7 -10
14 9 -72
15 0 -20
15 6 0
15 12 7
15 14 7
16 3 80
16 4 13
16 5 -31
16 12 55
16 13 2
16 14 71
