17 232
0 2 -31
0 3 62
0 4 24
0 5 -25
0 6 21
0 7 16
0 8 13
0 9 72
0 10 47
0 11 -25
0 12 -49
0 14 14
0 16 -19
1 0 -50
1 2 61
1 4 -14
1 6 63
1 7 -45
1 8 94
1 9 8
1 10 -32
1 11 -344
1 12 -64
1 13 79
1 14 56
1 15 36
2 0 6
2 1 -5
2 3 -1
2 4 81
2 5 -13
2 6 -48
2 8 81
2 10 32
2 11 -4
2 13 -23
2 14 97
2 15 -43
2 16 48
3 1 28
3 2 25
3 4 98
3 5 23
3 6 -10
3 8 42
3 9 -88
3 10 33
3 11 29
3 12 -44
3 13 15
3 14 99
3 15 -13
3 16 -22
4 0 14
4 1 25
4 3 38
4 5 60
4 6 -15
4 7 56
4 8 46
4 9 21
4 10 11
4 11 -80
4 12 57
4 14 -11
4 15 88
5 0 45
5 1 44
5 2 13
5 3 31
5 4 64
5 6 59
5 9 54
5 10 29
5 11 54
5 12 14
5 14 82
5 15 46
5 16 31
6 0 95
6 1 -48
6 2 80
6 3 68
6 4 69
6 5 22
6 7 -41
6 8 92
6 9 13
6 10 16
6 11 -10
6 12 -18
6 13 11
6 15 11
7 0 -5
7 1 41
7 2 55
7 4 -56
7 5 10
7 6 -46
7 8 61
7 9 45
7 10 96
7 11 -17
7 13 87
7 15 59
7 16 52
8 0 39
8 1 -50
8 3 -42
8 4 49
8 5 65
8 6 95
8 7 66
8 10 72
8 11 66
8 12 20
8 13 2
8 15 -32
8 16 -14
9 0 89
9 1 86
9 2 36
9 3 88
9 4 -21
9 5 41
9 6 39
9 7 96
9 8 25
9 11 59
9 12 75
9 13 92
9 14 72
9 15 53
9 16 27
10 0 -47
10 1 -22
10 2 7
10 3 -33
10 4 29
10 5 -29
10 6 85
10 7 55
10 9 33
10 11 89
10 13 38
10 14 53
10 15 95
10 16 -3
11 0 77
11 1 342
11 2 17
11 3 60
11 4 80
11 5 82
11 6 10
11 7 49
11 9 59
11 10 -7
11 12 80
11 13 -11
11 15 -22
11 16 83
12 0 1
12 1 64
12 2 -2
12 3 -42
12 4 81
12 5 90
12 6 -46
12 7 -31
12 8 -8
12 9 82
12 10 -41
12 11 -8
12 14 97
12 15 -7
12 16 -55
13 0 79
13 1 57
13 2 56
13 3 56
13 4 60
13 5 43
13 6 9
13 7 -43
13 8 92
13 9 44
13 10 2
13 11 24
13 12 3
13 15 28
13 16 -2
14 1 30
14 3 92
14 4 -21
14 5 -24
14 6 66
14 7 -10
14 8 59
14 9 -72
14 10 30
14 11 -4
14 12 7
14 13 -3
14 16 7
15 0 -20
15 1 90
15 2 -9
15 3 59
15 5 -23
15 6 0
15 7 55
15 8 47
15 10 -5
15 11 50
15 12 7
15 14 7
15 16 79
16 0 -9
16 1 -40
16 3 80
16 4 13
16 5 -31
16 6 48
16 7 83
16 8 -35
16 9 -29
16 10 82
16 11 44
16 12 55
16 13 2
16 14 71
