17 136
0 5 -25
0 6 21
0 7 16
0 8 13
0 10 47
0 11 -25
0 12 -49
0 16 -19
1 2 61
1 4 -14
1 7 -45
1 9 8
1 11 -344
1 12 -64
1 13 79
2 0 6
2 1 -5
2 5 -13
2 8 81
2 10 32
2 13 -23
2 16 48
3 5 23
3 8 42
3 9 -88
3 10 33
3 11 29
3 12 -44
3 13 15
3 14 99
4 1 25
4 5 60
4 7 56
4 9 21
4 11 -80
4 12 57
4 14 -11
5 0 45
5 1 44
5 2 13
5 10 29
5 14 82
5 15 46
5 16 31
6 0 95
6 1 -48
6 3 68
6 5 22
6 7 -41
6 8 92
6 11 -10
6 15 11
7 0 -5
7 1 41
7 4 -56
7 6 -46
7 8 61
7 11 -17
7 15 59
7 16 52
8 3 -42
8 5 65
8 6 95
8 11 66
8 13 2
8 16 -14
9 0 89
9 1 86
9 2 36
9 3 88
9 4 -21
9 7 96
9 13 92
9 14 72
9 15 53
10 0 -47
10 1 -22
10 2 7
10 3 -33
10 5 -29
10 7 55
10 9 33
10 13 38
10 14 53
11 0 77
11 1 342
11 4 80
11 5 82
11 6 10
11 10 -7
11 12 80
11 16 83
12 1 64
12 2 -2
12 3 -42
12 4 81
12 5 90
12 6 -46
12 7 -31
12 8 -8
12 10 -41
12 15 -7
12 16 -55
13 1 57
13 2 56
13 4 60
13 5 43
13 8 92
13 9 44
13 10 2
13 11 24
13 16 -2
14 1 30
14 3 92
14 6 66
14 7 -10
14 9 -72
14 11 -4
14 12 7
14 13 -3
15 0 -20
15 5 -23
15 6 0
15 7 55
15 10 -5
15 12 7
15 14 7
16 1 -40
16 3 80
16 4 13
16 5 -31
16 8 -35
16 10 82
16 12 55
16 13 2
16 14 71
