10 70
0 1 -48
0 2 -10
0 4 -35
0 5 62
0 6 24
0 8 -46
1 2 6
1 4 26
1 5 -23
1 6 26
1 8 10
1 9 -80
2 0 10
2 1 -34
2 3 24
2 4 -49
2 5 79
2 6 91
2 7 16
2 9 -40
3 0 -47
3 2 73
3 4 74
3 5 59
3 6 21
3 7 64
3 8 29
3 9 -14
4 1 -33
4 2 49
4 6 60
4 7 -15
4 8 28
4 9 41
5 0 49
5 1 39
5 2 -81
5 7 -10
5 8 39
5 9 -33
6 0 38
6 1 32
6 2 58
6 3 -21
6 4 15
6 5 61
6 7 20
6 9 58
7 0 58
7 1 90
7 2 -10
7 3 -64
7 4 16
7 5 10
7 6 67
7 9 18
8 1 96
8 2 49
8 3 -49
8 4 -28
8 5 55
8 6 43
8 7 14
9 0 -5
9 1 80
9 3 14
9 4 -41
9 6 42
9 7 91
9 8 67
