15 127
0 1 -25
0 2 -41
0 3 -29
0 4 30
0 5 13
0 6 21
0 9 57
0 13 -72
1 0 80
1 3 -20
1 4 -31
1 6 31
1 8 -10
1 10 51
1 14 5
2 1 37
2 6 71
2 7 -43
2 8 45
2 11 -42
2 12 54
2 13 14
2 14 7
3 1 -14
3 4 -2
3 6 -24
3 7 64
3 9 -80
3 10 21
3 13 -6
4 0 5
4 1 31
4 2 13
4 5 20
4 6 40
4 8 -5
4 9 28
4 11 -10
4 14 26
5 2 79
5 3 15
5 6 -13
5 8 56
5 9 14
5 10 -88
5 13 33
6 2 24
6 3 21
6 7 82
6 8 32
6 9 -55
6 12 21
6 13 60
6 14 -14
7 0 -15
7 2 29
7 3 -64
7 4 25
7 6 -43
7 8 22
7 9 47
7 11 -21
7 13 -17
8 1 -43
8 2 29
8 3 95
8 5 -56
8 6 -46
8 9 41
8 11 1
8 12 77
9 0 8
9 2 53
9 3 80
9 4 -28
9 5 32
9 6 55
9 7 61
9 10 71
9 13 19
10 0 14
10 3 -21
10 4 -22
10 5 88
10 7 65
10 8 -24
10 9 88
10 11 19
10 12 9
10 14 10
11 0 89
11 1 12
11 2 42
11 3 -28
11 4 10
11 6 -30
11 7 -49
11 8 -32
11 12 -29
11 13 259
11 14 34
12 0 33
12 2 62
12 3 33
12 7 86
12 9 45
12 10 -26
12 11 29
12 13 77
12 14 81
13 0 72
13 1 36
13 4 -46
13 5 -33
13 7 -8
13 11 -261
13 12 -37
13 14 75
14 1 56
14 3 -32
14 4 29
14 6 -2
14 9 67
14 10 -10
14 11 2
14 12 58
14 13 2
