16 81
0 1 67
0 5 -42
0 8 33
0 10 29
0 15 86
1 0 -2
1 5 13
1 11 -55
1 14 -25
1 15 -8
2 4 57
2 9 5
2 12 31
2 15 47
3 7 54
3 9 -21
3 10 88
3 11 -43
3 14 56
4 6 64
4 9 80
4 11 -28
4 13 -6
5 0 42
5 3 56
5 4 -24
5 10 -33
5 15 -29
6 0 20
6 4 -64
6 11 26
6 14 30
7 6 79
7 9 -10
8 3 -17
8 10 -72
8 11 -43
8 13 -13
8 15 80
9 3 21
9 4 -80
9 5 13
9 6 21
9 7 10
9 8 77
9 12 -43
10 2 -15
10 3 -88
10 5 33
10 6 32
10 8 72
10 9 71
10 15 32
11 0 -24
11 1 55
11 4 28
11 12 251
11 13 19
11 14 29
11 15 1
12 2 -32
12 3 8
12 5 95
12 11 -253
12 13 13
12 14 -30
12 15 -31
13 0 62
13 4 33
13 9 88
13 10 61
13 12 -13
14 2 36
14 3 -56
14 10 -37
14 12 65
15 2 -47
15 4 89
15 5 29
15 12 31
15 13 -49
