16 230
0 1 67
0 2 50
0 3 2
0 4 23
0 5 -42
0 6 94
0 8 33
0 9 92
0 10 29
0 11 -14
0 12 43
0 13 36
0 14 -29
0 15 86
1 0 -2
1 2 -5
1 3 66
1 4 38
1 5 13
1 6 -11
1 7 92
1 8 82
1 9 72
1 11 -55
1 12 -32
1 13 97
1 14 -25
1 15 -8
2 0 81
2 3 -13
2 4 57
2 5 -1
2 6 -7
2 7 -4
2 8 -42
2 9 5
2 10 53
2 11 15
2 12 31
2 13 45
2 14 0
2 15 47
3 0 60
3 1 -22
3 2 -48
3 5 46
3 6 28
3 7 54
3 8 -9
3 9 -21
3 10 88
3 11 -43
3 12 -10
3 13 83
3 14 56
3 15 60
4 0 98
4 1 7
4 3 81
4 5 -41
4 6 64
4 7 38
4 8 59
4 9 80
4 10 54
4 11 -28
4 12 -4
4 13 -6
4 14 24
4 15 31
5 0 42
5 1 -14
5 2 -50
5 3 56
5 4 -24
5 6 21
5 7 13
5 8 54
5 9 44
5 10 -33
5 11 -15
5 12 69
5 13 44
5 14 92
5 15 -29
6 0 20
6 1 66
6 2 82
6 3 16
6 4 -64
6 5 22
6 7 11
6 8 96
6 10 7
6 11 26
6 12 -32
6 13 13
6 14 30
6 15 11
7 0 55
7 1 14
7 2 -25
7 3 59
7 4 -23
7 5 36
7 6 79
7 9 -10
7 10 87
7 11 64
7 12 41
7 13 -25
7 14 -5
7 15 66
8 0 75
8 1 80
8 2 8
8 3 -17
8 4 49
8 5 7
8 6 61
8 7 -35
8 9 -18
8 10 -72
8 11 -43
8 12 39
8 13 -13
8 14 53
8 15 80
9 0 6
9 1 48
9 2 90
9 3 21
9 4 -80
9 5 13
9 6 21
9 7 10
9 8 77
9 10 55
9 11 85
9 12 -43
9 13 95
9 14 -22
9 15 89
10 0 -19
10 1 -50
10 2 -15
10 3 -88
10 4 10
10 5 33
10 6 32
10 7 -44
10 8 72
10 9 71
10 11 96
10 12 16
10 13 60
10 14 17
10 15 32
11 0 -24
11 1 55
11 2 77
11 3 28
11 4 28
11 5 79
11 6 27
11 7 25
11 8 99
11 9 24
11 10 79
11 12 251
11 13 19
11 14 29
11 15 1
12 0 -11
12 1 82
12 2 -32
12 3 8
12 4 55
12 5 95
12 6 -21
12 7 -3
12 8 57
12 9 -46
12 10 20
12 11 -253
12 13 13
12 14 -30
12 15 -31
13 0 62
13 1 1
13 2 81
13 3 -5
13 4 33
13 5 68
13 6 7
13 7 2
13 8 -45
13 9 88
13 10 61
13 11 -24
13 12 -13
13 14 46
14 0 47
14 1 92
14 2 36
14 3 -56
14 4 80
14 5 90
14 6 -41
14 7 -40
14 9 -9
14 10 -37
14 11 56
14 12 65
14 13 -20
14 15 -17
15 0 14
15 1 59
15 2 -47
15 3 -31
15 4 89
15 5 29
15 6 52
15 8 44
15 9 71
15 10 -23
15 11 -46
15 12 31
15 13 -49
15 14 -49
