20 86
0 3 1
0 4 96
0 8 7
0 9 85
0 11 -296
1 0 17
1 12 -72
1 15 66
1 17 56
1 19 42
2 3 59
2 9 75
2 11 -22
3 6 0
3 9 -31
3 10 55
3 18 50
4 0 -9
4 2 89
4 8 79
4 9 -29
4 11 -33
4 13 96
5 7 -24
5 8 60
5 10 -64
5 16 10
5 17 -18
6 3 0
6 5 28
6 9 47
6 15 24
7 1 -50
7 8 -21
7 14 13
7 19 47
8 0 -7
8 4 44
8 10 11
8 14 -2
8 16 90
9 3 31
9 4 29
9 15 94
9 16 -29
9 18 81
10 3 -55
10 5 64
10 14 97
10 15 -42
11 0 294
11 2 22
11 4 33
11 16 72
12 1 72
12 8 -13
12 11 -4
12 16 -56
13 1 -22
13 4 -96
13 17 46
14 3 54
14 7 -13
14 8 2
14 17 14
15 3 36
15 10 42
15 12 38
15 17 13
16 5 -10
16 7 54
16 11 -1
16 12 56
17 4 28
17 5 18
17 9 -32
17 18 16
18 0 59
18 9 -81
18 14 87
18 17 31
19 1 -42
19 3 39
19 7 -47
19 12 49
19 13 69
