20 125
0 3 1
0 4 96
0 8 7
0 9 85
0 11 -296
0 13 -31
0 18 83
1 0 17
1 4 63
1 5 62
1 12 -72
1 15 66
1 17 56
1 19 42
2 3 59
2 4 -48
2 9 75
2 11 -22
2 12 56
3 0 -43
3 6 0
3 9 -31
3 10 55
3 14 25
3 18 50
4 0 -9
4 2 89
4 5 88
4 8 79
4 9 -29
4 11 -33
4 13 96
4 19 -10
5 7 -24
5 8 60
5 10 -64
5 14 14
5 16 10
5 17 -18
5 18 59
6 3 0
6 5 28
6 9 47
6 13 49
6 15 24
7 1 -50
7 3 41
7 8 -21
7 11 11
7 14 13
7 19 47
8 0 -7
8 3 29
8 4 44
8 10 11
8 14 -2
8 16 90
9 3 31
9 4 29
9 11 64
9 15 94
9 16 -29
9 18 81
9 19 45
10 3 -55
10 4 59
10 5 64
10 12 72
10 13 80
10 14 97
10 15 -42
11 0 294
11 2 22
11 3 25
11 4 33
11 13 97
11 16 72
11 19 10
12 0 95
12 1 72
12 2 20
12 4 9
12 8 -13
12 11 -4
12 16 -56
13 1 -22
13 4 -96
13 8 39
13 9 50
13 17 46
14 3 54
14 7 -13
14 8 2
14 10 -3
14 17 14
14 19 -22
15 3 36
15 10 42
15 12 38
15 13 82
15 17 13
16 5 -10
16 7 54
16 10 3
16 11 -1
16 12 56
16 15 -8
17 4 28
17 5 18
17 7 -43
17 9 -32
17 11 30
17 18 16
18 0 59
18 6 79
18 9 -81
18 14 87
18 15 59
18 17 31
19 1 -42
19 2 48
19 3 39
19 7 -47
19 12 49
19 13 69
