20 194
0 1 0
0 3 1
0 4 96
0 8 7
0 9 85
0 10 -40
0 11 -296
0 13 -31
0 14 -21
0 17 -33
0 18 83
1 0 17
1 2 -2
1 4 63
1 5 62
1 9 45
1 10 10
1 12 -72
1 15 66
1 17 56
1 19 42
2 0 51
2 3 59
2 4 -48
2 6 -25
2 9 75
2 11 -22
2 12 56
2 14 11
2 19 -3
3 0 -43
3 1 40
3 6 0
3 9 -31
3 10 55
3 14 25
3 15 94
3 18 50
3 19 73
4 0 -9
4 1 37
4 2 89
4 5 88
4 8 79
4 9 -29
4 11 -33
4 12 27
4 13 96
4 17 99
4 19 -10
5 2 96
5 6 -29
5 7 -24
5 8 60
5 10 -64
5 14 14
5 16 10
5 17 -18
5 18 59
5 19 9
6 3 0
6 4 -39
6 5 28
6 7 44
6 8 -14
6 9 47
6 13 49
6 14 79
6 15 24
7 1 -50
7 3 41
7 6 33
7 8 -21
7 11 11
7 13 -29
7 14 13
7 15 -19
7 19 47
8 0 -7
8 3 29
8 4 44
8 6 57
8 10 11
8 13 -7
8 14 -2
8 15 -45
8 16 90
8 18 26
9 0 0
9 1 13
9 3 31
9 4 29
9 5 29
9 11 64
9 15 94
9 16 -29
9 18 81
9 19 45
10 3 -55
10 4 59
10 5 64
10 6 66
10 8 -27
10 12 72
10 13 80
10 14 97
10 15 -42
10 19 52
11 0 294
11 1 -25
11 2 22
11 3 25
11 4 33
11 13 97
11 14 -36
11 15 21
11 16 72
11 19 10
12 0 95
12 1 72
12 2 20
12 4 9
12 6 -21
12 8 -13
12 9 97
12 11 -4
12 15 24
12 16 -56
12 17 -44
13 1 -22
13 4 -96
13 7 -1
13 8 39
13 9 50
13 10 4
13 14 49
13 17 46
13 18 56
14 2 2
14 3 54
14 4 89
14 5 31
14 7 -13
14 8 2
14 9 -17
14 10 -3
14 17 14
14 18 44
14 19 -22
15 3 36
15 8 89
15 10 42
15 11 78
15 12 38
15 13 82
15 14 91
15 17 13
16 5 -10
16 6 50
16 7 54
16 8 20
16 10 3
16 11 -1
16 12 56
16 13 22
16 15 -8
17 3 -25
17 4 28
17 5 18
17 6 -18
17 7 -43
17 9 -32
17 11 30
17 12 6
17 16 89
17 18 16
18 0 59
18 4 48
18 6 79
18 8 34
18 9 -81
18 13 5
18 14 87
18 15 59
18 17 31
19 1 -42
19 2 48
19 3 39
19 7 -47
19 11 1
19 12 49
19 13 69
19 16 -41
19 18 45
