14 126
0 1 82
0 3 16
0 5 -37
0 6 5
0 7 -15
0 10 -56
0 11 -25
0 12 -32
0 13 25
1 0 -41
1 2 14
1 5 31
1 7 88
1 8 51
1 9 -26
1 10 -21
1 11 -242
1 12 29
1 13 67
2 0 40
2 1 48
2 3 -46
2 5 -14
2 6 -49
2 7 19
2 8 -43
2 9 -64
2 10 14
2 13 13
3 0 19
3 1 -43
3 2 -12
3 6 5
3 8 10
3 9 -28
3 10 80
3 11 40
3 12 71
3 13 66
4 1 14
4 2 24
4 3 54
4 6 -6
4 7 55
4 9 10
4 10 20
4 11 -10
4 12 -50
5 0 25
5 2 86
5 3 -28
5 6 -43
5 7 34
5 9 -28
5 10 -21
5 12 96
5 13 88
6 0 12
6 3 -8
6 4 3
6 7 20
6 9 98
6 11 -31
6 12 -24
6 13 32
7 1 47
7 4 -55
7 8 -24
7 9 54
7 10 26
7 11 -26
7 12 79
8 1 -32
8 3 -10
8 4 81
8 9 59
8 10 57
8 11 -13
8 12 -17
8 13 29
9 0 21
9 1 2
9 2 64
9 3 28
9 4 -10
9 6 58
9 7 7
9 11 9
9 13 77
10 0 56
10 2 71
10 3 -80
10 4 71
10 5 21
10 8 21
10 9 -29
10 11 -15
10 12 81
11 1 240
11 2 34
11 3 51
11 4 10
11 5 19
11 6 31
11 7 1
11 8 32
11 9 33
11 13 89
12 0 36
12 1 -29
12 4 45
12 5 86
12 7 -30
12 8 -18
12 10 -36
12 11 45
12 13 -33
13 0 29
13 2 37
13 3 7
13 4 -2
13 5 -88
13 7 62
13 9 8
13 11 75
13 12 33
