13 67
0 2 92
0 3 96
0 5 -21
0 6 34
0 7 45
0 11 -214
1 3 -16
1 4 -33
1 5 54
1 8 -7
1 11 12
2 1 -49
2 3 0
2 7 64
2 9 59
2 10 -55
3 0 77
3 6 88
3 7 31
3 8 89
3 9 -10
3 10 28
4 1 33
4 6 7
4 8 70
4 9 10
4 11 -64
5 0 21
5 3 -30
5 8 64
5 9 71
5 10 -80
6 1 11
6 3 86
6 7 68
6 9 29
6 11 -36
7 0 -6
7 3 -31
7 6 26
7 9 -15
7 11 -36
8 2 7
8 5 -64
8 7 51
8 9 25
8 10 42
8 11 -19
9 3 10
9 4 -10
9 6 -29
9 7 87
9 8 48
9 11 -30
10 2 55
10 3 -28
10 4 99
10 5 80
11 0 212
11 1 88
11 4 64
11 7 -6
11 10 66
11 12 88
12 2 97
12 10 9
12 11 -88
