13 115
0 2 92
0 3 96
0 4 -2
0 5 -21
0 6 34
0 7 45
0 8 21
0 9 -32
0 11 -214
0 12 -12
1 0 82
1 3 -16
1 4 -33
1 5 54
1 8 -7
1 9 -41
1 10 71
1 11 12
2 0 -21
2 1 -49
2 3 0
2 5 14
2 6 20
2 7 64
2 9 59
2 10 -55
2 12 -50
3 0 77
3 2 40
3 4 37
3 5 34
3 6 88
3 7 31
3 8 89
3 9 -10
3 10 28
3 12 -28
4 0 24
4 1 33
4 2 5
4 6 7
4 7 98
4 8 70
4 9 10
4 11 -64
5 0 21
5 3 -30
5 4 -46
5 6 25
5 7 57
5 8 64
5 9 71
5 10 -80
5 12 14
6 0 81
6 1 11
6 3 86
6 4 3
6 5 12
6 7 68
6 8 19
6 9 29
6 11 -36
7 0 -6
7 1 32
7 3 -31
7 4 -26
7 5 47
7 6 26
7 9 -15
7 11 -36
8 2 7
8 4 29
8 5 -64
8 6 2
8 7 51
8 9 25
8 10 42
8 11 -19
9 1 9
9 2 -29
9 3 10
9 4 -10
9 6 -29
9 7 87
9 8 48
9 11 -30
9 12 14
10 1 -28
10 2 55
10 3 -28
10 4 99
10 5 80
10 6 34
10 7 51
10 9 25
10 12 -18
11 0 212
11 1 88
11 2 81
11 3 -26
11 4 64
11 5 45
11 7 -6
11 8 16
11 10 66
11 12 88
12 1 45
12 2 97
12 3 19
12 4 75
12 7 40
12 8 58
12 10 9
12 11 -88
