19 141
0 3 -2
0 5 -4
0 6 66
0 7 -13
0 10 59
0 15 -40
0 16 11
1 3 11
1 7 46
1 8 36
1 10 64
1 11 -49
1 12 -56
1 15 0
1 17 72
2 1 -22
2 5 80
2 6 54
2 7 -23
2 10 7
2 11 -1
2 14 -32
3 0 2
3 1 10
3 4 -35
3 5 13
3 9 29
3 10 31
3 14 38
4 3 16
4 5 54
4 8 -32
4 9 33
4 11 -88
4 12 20
4 14 -47
4 16 81
4 17 28
5 1 59
5 7 -45
5 9 31
5 10 -55
5 11 39
5 13 22
5 16 64
6 2 16
6 9 49
6 11 -23
6 12 -81
6 13 -3
6 16 69
6 17 98
7 4 96
7 5 -8
7 8 23
7 9 1
7 10 87
7 11 -42
8 3 -15
8 9 -13
8 11 39
8 12 66
8 14 -43
8 18 -11
9 1 75
9 3 -29
9 4 -33
9 5 85
9 6 14
9 8 13
9 18 45
10 2 -7
10 3 -31
10 5 55
10 9 56
10 13 82
10 14 79
10 15 -48
10 16 89
11 3 17
11 4 88
11 6 68
11 7 42
11 8 60
11 12 -18
11 16 59
11 17 379
12 1 56
12 2 59
12 3 -14
12 5 79
12 6 81
12 9 55
12 15 48
12 16 -10
12 17 -17
12 18 28
13 3 -24
13 4 50
13 5 -22
13 9 36
13 12 -50
13 15 -21
13 16 92
14 1 -31
14 3 38
14 4 47
14 8 -9
14 9 27
14 15 47
14 18 7
15 1 0
15 2 24
15 9 90
15 10 90
15 11 -7
15 16 -11
15 17 63
16 3 24
16 5 -64
16 8 44
16 9 -48
16 10 -29
16 11 7
16 12 10
16 18 96
17 1 -72
17 4 94
17 8 -9
17 9 -50
17 11 -381
17 13 -3
17 14 81
17 16 25
18 0 -5
18 1 14
18 2 97
18 3 92
18 7 72
18 9 88
18 16 -96
