12 85
0 1 58
0 2 -15
0 4 -2
0 5 -80
0 6 72
0 10 88
0 11 -207
1 0 24
1 2 92
1 4 -88
1 5 79
1 6 45
1 7 51
1 9 70
2 0 14
2 1 -14
2 3 12
2 4 48
2 5 -16
2 10 -31
2 11 89
3 1 0
3 5 -49
3 6 66
3 7 -29
3 9 -10
3 10 10
3 11 -24
4 1 88
4 5 -20
4 6 -30
4 7 11
4 8 26
4 9 64
4 10 41
4 11 -14
5 0 80
5 1 68
5 6 -6
5 7 77
5 8 43
5 10 -28
5 11 42
6 2 -36
6 3 9
6 4 -19
6 7 72
6 8 20
6 9 -33
7 0 25
7 2 -34
7 3 29
7 4 -6
7 9 29
7 10 34
8 0 20
8 2 7
8 3 29
8 4 87
8 5 74
8 7 -7
8 9 -30
8 11 -21
9 1 99
9 3 10
9 4 -64
9 5 71
9 6 33
9 7 40
9 8 88
9 10 -15
10 2 31
10 3 -10
10 4 -6
10 5 28
10 7 21
10 9 86
10 11 90
11 0 205
11 2 58
11 4 14
11 5 -11
11 8 21
11 9 64
11 10 97
