18 71
0 3 0
0 4 -13
0 14 83
1 3 -41
1 5 -42
1 12 -10
1 17 56
2 9 -2
2 11 60
2 12 44
3 1 7
3 4 -4
3 5 13
3 9 -33
3 10 -29
3 13 -7
4 0 13
4 2 55
4 8 82
4 9 88
4 11 -21
5 6 96
5 10 -31
5 13 -19
5 16 55
6 0 -25
6 5 -96
6 9 -25
7 2 8
7 10 61
7 14 42
7 17 -72
8 2 79
8 3 48
8 11 47
9 2 2
9 3 33
9 4 -88
9 5 81
10 1 99
10 3 29
10 5 31
10 12 92
10 15 22
11 4 21
11 8 -47
11 14 442
12 1 10
12 2 55
12 9 57
12 16 -64
13 3 7
13 7 52
13 9 80
13 10 46
14 7 -42
14 11 -444
14 15 -41
14 17 2
15 6 -31
15 9 -46
15 10 -22
16 5 -55
16 9 43
16 11 66
16 12 64
17 1 -56
17 7 72
17 9 92
17 11 53
17 14 82
