18 239
0 1 11
0 3 0
0 4 -13
0 5 94
0 6 80
0 7 -7
0 8 45
0 9 7
0 10 37
0 11 72
0 12 90
0 13 14
0 14 83
0 17 73
1 0 96
1 2 10
1 3 -41
1 4 -9
1 5 -42
1 7 45
1 8 24
1 11 -3
1 12 -10
1 13 49
1 14 -4
1 15 97
1 16 81
1 17 56
2 3 -3
2 6 -39
2 7 -13
2 8 92
2 9 -2
2 11 60
2 12 44
2 13 -22
2 14 9
2 15 41
2 16 20
2 17 14
3 0 46
3 1 7
3 2 38
3 4 -4
3 5 13
3 7 36
3 8 79
3 9 -33
3 10 -29
3 12 72
3 13 -7
3 15 29
3 16 66
4 0 13
4 1 -19
4 2 55
4 5 -5
4 7 -1
4 8 82
4 9 88
4 10 25
4 11 -21
4 14 54
4 15 26
4 16 -23
4 17 39
5 1 -35
5 2 -40
5 4 95
5 6 96
5 8 -45
5 9 0
5 10 -31
5 11 28
5 12 -3
5 13 -19
5 14 54
5 15 59
5 16 55
5 17 13
6 0 -25
6 1 -22
6 3 -49
6 5 -96
6 8 16
6 9 -25
6 11 -32
6 12 97
6 13 31
6 14 -27
6 15 -8
6 16 16
7 0 59
7 1 82
7 2 8
7 3 29
7 6 -43
7 9 9
7 10 61
7 11 -36
7 12 -45
7 13 -32
7 14 42
7 16 69
7 17 -72
8 1 87
8 2 79
8 3 48
8 5 50
8 6 6
8 7 52
8 11 47
8 12 3
8 13 97
8 14 96
8 15 81
8 16 -23
8 17 49
9 1 79
9 2 2
9 3 33
9 4 -88
9 5 81
9 6 -44
9 7 -44
9 10 1
9 13 39
9 15 31
9 16 98
9 17 66
10 1 99
10 2 30
10 3 29
10 4 56
10 5 31
10 6 23
10 7 -1
10 8 85
10 12 92
10 13 -15
10 15 22
10 16 48
10 17 75
11 0 17
11 1 4
11 2 59
11 4 21
11 6 89
11 8 -47
11 9 -11
11 10 25
11 12 -31
11 13 59
11 14 442
11 15 50
11 16 14
11 17 44
12 0 45
12 1 10
12 2 55
12 3 50
12 4 -18
12 6 6
12 7 83
12 8 79
12 9 57
12 10 89
12 14 82
12 15 63
12 16 -64
13 0 91
13 1 -48
13 3 7
13 4 62
13 5 -9
13 6 -24
13 7 52
13 8 55
13 9 80
13 10 46
13 11 89
13 12 60
13 14 34
13 17 68
14 0 1
14 2 -48
14 3 89
14 6 59
14 7 -42
14 8 28
14 10 56
14 11 -444
14 12 20
14 13 -17
14 15 -41
14 16 24
14 17 2
15 0 25
15 2 -50
15 3 47
15 4 -43
15 5 -21
15 6 -31
15 7 5
15 9 -46
15 10 -22
15 11 -25
15 12 -50
15 13 -14
15 14 92
15 16 -21
16 0 90
16 1 -33
16 2 38
16 3 36
16 4 11
16 5 -55
16 6 88
16 9 43
16 10 27
16 11 66
16 12 64
16 13 44
16 14 45
16 15 -2
17 0 11
17 1 -56
17 2 -25
17 3 59
17 5 -29
17 6 -10
17 7 72
17 8 7
17 9 92
17 10 64
17 11 53
17 14 82
17 15 -11
17 16 0
